📻广播电台,#genre#
📻北京财经,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv5_1/index.m3u8?adapt=0&BR=audio
📻华语环球,http://sk.cri.cn/hyhq.m3u8
📻华语环球,https://sk.cri.cn/hyhq.m3u8
📻南宁交通音乐广播,http://ls.qingting.fm/live/80793.m3u8?aac
📻南方生活广播,http://satellitepull.cnr.cn/live/wxgdnfshgb/playlist.m3u8
📻南海之声,http://sk.cri.cn/nhzs.m3u8
📻南通交通广播,http://ls.qingting.fm/live/2216385.m3u8
📻厦门新闻广播,http://ls.qingting.fm/live/1737.m3u8
📻厦门音乐广播,http://ls.qingting.fm/live/1739.m3u8
📻吉林乡村广播,http://satellitepull.cnr.cn/live/wxjlxcgb/playlist.m3u8
📻吉林综合广播,http://satellitepull.cnr.cn/live/wxjlxwzhgb/playlist.m3u8
📻呼伦贝尔汉语广播,http://satellitepull.cnr.cn/live/wx32nmghlbehygb/playlist.m3u8
📻呼伦贝尔汉语广播,https://satellitepull.cnr.cn/live/wx32nmghlbehygb/playlist.m3u8
📻呼伦贝尔蒙语广播,http://satellitepull.cnr.cn/live/wx32nmghlbemygb/playlist.m3u8
📻呼伦贝尔蒙语广播,https://satellitepull.cnr.cn/live/wx32nmghlbemygb/playlist.m3u8
📻呼和浩特城市生活广播,http://ls.qingting.fm/live/2218717.m3u8
📻呼和浩特文艺广播,http://ls.qingting.fm/live/3099076.m3u8
📻呼和浩特新闻综合广播,http://ls.qingting.fm/live/2218711.m3u8
📻咸阳城市之声,http://ls.qingting.fm/live/3559664.m3u8
📻四川交通广播,http://satellitepull.cnr.cn/live/wxscjtgb/playlist.m3u8
📻四川城市之音,http://satellitepull.cnr.cn/live/wxsccszs/playlist.m3u8
📻四川岷江音乐,http://satellitepull.cnr.cn/live/wxscmjyyt/playlist.m3u8
📻四川文艺广播,http://satellitepull.cnr.cn/live/wxscwygb/playlist.m3u8
📻四川文艺广播,https://satellitepull.cnr.cn/live/wxscwygb/playlist.m3u8
